condition,layer,head,key_span,decision_mass_mean,decision_density_mean
corrupt,13,L13H15,tools_block,0.04069517340087686,0.0007536143216038716
corrupt,13,L13H15,tool_instruction,0.03703409858285552,0.001683368117515019
corrupt,13,L13H15,tool_call_example,0.0817368207400389,0.0035537748101821514
corrupt,13,L13H15,user_lead_phrase,0.009550182338619722,0.006180359119928624
corrupt,13,L13H15,function_body_anchor,0.006208079360282309,0.0015520198400705773
corrupt,13,L13H15,file_target,0.006106311437663967,0.0030531557188319836
corrupt,13,L13H15,instruction_suffix,0.016060792892038187,0.0017845325454847183
corrupt,13,L13H15,task_body,0.21026187041014407,0.002770043374543731
corrupt,13,L13H15,assistant_prefix,0.23472326328690093,0.026080362567295817
corrupt,14,L14H0,system_preamble,0.4710706280619028,0.013459160784602117
corrupt,14,L14H0,tools_block,0.008304032714518118,0.00015377838341665826
corrupt,14,L14H0,tool_instruction,0.020368647734228695,0.0009258476245686875
corrupt,14,L14H0,tool_call_example,0.012688929890529941,0.0005516926038605546
corrupt,14,L14H0,user_lead_phrase,0.007300842871758303,0.0037536335913097
corrupt,14,L14H0,function_body_anchor,0.02057256335746695,0.005143140839366738
corrupt,14,L14H0,file_target,0.011418223081580008,0.005709111540790004
corrupt,14,L14H0,instruction_suffix,0.029160264392100878,0.003240029379258653
corrupt,14,L14H0,task_body,0.13465680804587932,0.0017912867407635074
corrupt,14,L14H0,assistant_prefix,0.2844590600016462,0.03160656226200348
corrupt,14,L14H1,system_preamble,0.5578295897725948,0.015937988286135827
corrupt,14,L14H1,tools_block,0.013566119851466826,0.0002512244419811578
corrupt,14,L14H1,tool_instruction,0.025761177213535092,0.001170962603120415
corrupt,14,L14H1,tool_call_example,0.015541788249239265,0.0006757299241334587
corrupt,14,L14H1,user_lead_phrase,0.0067465231337651,0.0035678967976420454
corrupt,14,L14H1,function_body_anchor,0.023922949190573646,0.0059807372976434115
corrupt,14,L14H1,file_target,0.013591924187661022,0.006795962093830511
