sample_id,component,variant,set,mass
codecontests_java_1,L23H6,clean_full,tools_payload,2.351935108890757e-05
codecontests_java_1,L23H6,clean_full,tool_call_tags,0.005466625094413757
codecontests_java_1,L23H6,clean_full,protocol_payload,nan
codecontests_java_1,L23H6,clean_full,prefix_16,0.3557876944541931
codecontests_java_1,L24H6,clean_full,user_block,0.006431926973164082
codecontests_java_1,L24H6,clean_full,tools_block,0.006877950858324766
codecontests_java_1,L24H6,clean_full,tools_payload,1.9909930415451527e-05
codecontests_java_1,L24H6,clean_full,tool_call_tags,0.9658908247947693
codecontests_java_1,L24H6,clean_full,protocol_payload,nan
codecontests_java_1,L24H6,clean_full,prefix_16,0.011060693301260471
codecontests_java_1,L2H14,corrupt_full,user_block,0.4139503240585327
codecontests_java_1,L2H14,corrupt_full,tools_block,0.12226995825767517
codecontests_java_1,L2H14,corrupt_full,tools_payload,0.0010286367032676935
codecontests_java_1,L2H14,corrupt_full,tool_call_tags,0.00426328182220459
codecontests_java_1,L2H14,corrupt_full,protocol_payload,nan
codecontests_java_1,L2H14,corrupt_full,prefix_16,0.11653738468885422
codecontests_java_1,L21H12,corrupt_full,user_block,0.15129439532756805
codecontests_java_1,L21H12,corrupt_full,tools_block,0.3489179313182831
codecontests_java_1,L21H12,corrupt_full,tools_payload,0.018601251766085625
codecontests_java_1,L21H12,corrupt_full,tool_call_tags,0.004254363477230072
codecontests_java_1,L21H12,corrupt_full,protocol_payload,nan
codecontests_java_1,L21H12,corrupt_full,prefix_16,0.21085238456726074
codecontests_java_1,L16H4,corrupt_full,user_block,0.4978431761264801
codecontests_java_1,L16H4,corrupt_full,tools_block,0.021440761163830757
codecontests_java_1,L16H4,corrupt_full,tools_payload,5.595098286903522e-07
codecontests_java_1,L16H4,corrupt_full,tool_call_tags,0.00012005957250948995
codecontests_java_1,L16H4,corrupt_full,protocol_payload,nan
codecontests_java_1,L16H4,corrupt_full,prefix_16,0.10160981118679047
codecontests_java_1,L23H6,corrupt_full,user_block,0.06334546208381653
codecontests_java_1,L23H6,corrupt_full,tools_block,0.015262997709214687
codecontests_java_1,L23H6,corrupt_full,tools_payload,2.0049221348017454e-05
codecontests_java_1,L23H6,corrupt_full,tool_call_tags,0.004276351071894169
codecontests_java_1,L23H6,corrupt_full,protocol_payload,nan
codecontests_java_1,L23H6,corrupt_full,prefix_16,0.4946059584617615
codecontests_java_1,L24H6,corrupt_full,user_block,0.08710233867168427
codecontests_java_1,L24H6,corrupt_full,tools_block,0.0448731929063797
codecontests_java_1,L24H6,corrupt_full,tools_payload,0.0008083409047685564
codecontests_java_1,L24H6,corrupt_full,tool_call_tags,0.36494314670562744
codecontests_java_1,L24H6,corrupt_full,protocol_payload,nan
codecontests_java_1,L24H6,corrupt_full,prefix_16,0.4475973844528198
codecontests_java_1,L2H14,clean_no_schema,user_block,0.32940205931663513
codecontests_java_1,L2H14,clean_no_schema,tools_block,0.045493967831134796
codecontests_java_1,L2H14,clean_no_schema,tools_payload,0.0012456184485927224
codecontests_java_1,L2H14,clean_no_schema,tool_call_tags,0.0056233094073832035
codecontests_java_1,L2H14,clean_no_schema,protocol_payload,nan
codecontests_java_1,L2H14,clean_no_schema,prefix_16,0.16851873695850372
codecontests_java_1,L21H12,clean_no_schema,user_block,0.10933642089366913
codecontests_java_1,L21H12,clean_no_schema,tools_block,0.3081676661968231
codecontests_java_1,L21H12,clean_no_schema,tools_payload,0.030473021790385246
codecontests_java_1,L21H12,clean_no_schema,tool_call_tags,0.00383698265068233
codecontests_java_1,L21H12,clean_no_schema,protocol_payload,nan
codecontests_java_1,L21H12,clean_no_schema,prefix_16,0.23320719599723816
codecontests_java_1,L16H4,clean_no_schema,user_block,0.36260753870010376
codecontests_java_1,L16H4,clean_no_schema,tools_block,0.012947015464305878
codecontests_java_1,L16H4,clean_no_schema,tools_payload,6.359352482832037e-06
codecontests_java_1,L16H4,clean_no_schema,tool_call_tags,0.0001374546263832599
codecontests_java_1,L16H4,clean_no_schema,protocol_payload,nan
codecontests_java_1,L16H4,clean_no_schema,prefix_16,0.0913698822259903
codecontests_java_1,L23H6,clean_no_schema,user_block,0.0958642065525055
codecontests_java_1,L23H6,clean_no_schema,tools_block,0.00931946188211441
codecontests_java_1,L23H6,clean_no_schema,tools_payload,3.600951094995253e-05
codecontests_java_1,L23H6,clean_no_schema,tool_call_tags,0.0033982398454099894
codecontests_java_1,L23H6,clean_no_schema,protocol_payload,nan
codecontests_java_1,L23H6,clean_no_schema,prefix_16,0.37636473774909973
