sample_id,path_key,base_variant,source_variant,direction,ratio,top1,boundary_flip
mbpp_python_17,schema_tool_path,clean_no_protocol,clean_full,tool,2.363175675675676,False,False
mbpp_python_17,no_tool_path,clean_full,corrupt_full,no_tool,0.9257990867579908,True,True
codecontests_cpp_18,query_tool_path,corrupt_full,clean_full,tool,0.7021028037383178,False,False
codecontests_cpp_18,schema_tool_path,clean_no_schema,clean_full,tool,0.47313084112149534,True,True
codecontests_cpp_18,schema_tool_path,clean_schema_mismatch,clean_full,tool,2.748028621495327,True,True
codecontests_cpp_18,schema_tool_path,clean_no_protocol,clean_full,tool,3.36857476635514,True,True
codecontests_cpp_18,no_tool_path,clean_full,corrupt_full,no_tool,0.8613095238095239,True,True
codecontests_java_18,query_tool_path,corrupt_full,clean_full,tool,0.821,False,False
codecontests_java_18,schema_tool_path,clean_no_schema,clean_full,tool,0.642,True,True
codecontests_java_18,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.6479375,True,True
codecontests_java_18,schema_tool_path,clean_no_protocol,clean_full,tool,3.192,True,True
codecontests_java_18,no_tool_path,clean_full,corrupt_full,no_tool,0.9697115384615385,True,True
humaneval_python_18,query_tool_path,corrupt_full,clean_full,tool,0.8575367647058824,False,False
humaneval_python_18,schema_tool_path,clean_no_schema,clean_full,tool,-0.006893382352941176,True,True
humaneval_python_18,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.1318933823529411,True,True
humaneval_python_18,schema_tool_path,clean_no_protocol,clean_full,tool,2.891544117647059,False,False
humaneval_python_18,no_tool_path,clean_full,corrupt_full,no_tool,0.9114906832298136,True,True
codecontests_java_19,query_tool_path,corrupt_full,clean_full,tool,0.9109738372093024,True,True
codecontests_java_19,schema_tool_path,clean_no_schema,clean_full,tool,1.0423101380813953,True,True
codecontests_java_19,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.8368317360101745,True,True
codecontests_java_19,schema_tool_path,clean_no_protocol,clean_full,tool,2.1809365915697674,True,True
codecontests_java_19,no_tool_path,clean_full,corrupt_full,no_tool,0.49356223175965663,False,False
apps_python_20,query_tool_path,corrupt_full,clean_full,tool,0.9303209459459459,True,True
apps_python_20,schema_tool_path,clean_no_schema,clean_full,tool,0.022487331081081082,True,True
apps_python_20,schema_tool_path,clean_schema_mismatch,clean_full,tool,2.337626689189189,True,True
apps_python_20,schema_tool_path,clean_no_protocol,clean_full,tool,4.121621621621622,False,False
apps_python_20,no_tool_path,clean_full,corrupt_full,no_tool,0.6475,False,False
codecontests_cpp_20,query_tool_path,corrupt_full,clean_full,tool,0.4754601226993865,False,False
codecontests_cpp_20,schema_tool_path,clean_no_schema,clean_full,tool,1.8558282208588956,False,False
codecontests_cpp_20,schema_tool_path,clean_schema_mismatch,clean_full,tool,4.738113496932515,True,True
codecontests_cpp_20,schema_tool_path,clean_no_protocol,clean_full,tool,4.7975460122699385,False,False
codecontests_cpp_20,no_tool_path,clean_full,corrupt_full,no_tool,0.8755122950819673,True,True
codecontests_java_20,query_tool_path,corrupt_full,clean_full,tool,0.9224890829694323,True,True
codecontests_java_20,schema_tool_path,clean_no_schema,clean_full,tool,0.2423921943231441,True,True
codecontests_java_20,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.22999112991266377,True,True
codecontests_java_20,schema_tool_path,clean_no_protocol,clean_full,tool,1.183610807860262,True,True
codecontests_java_20,no_tool_path,clean_full,corrupt_full,no_tool,0.6831210191082803,False,False
humaneval_python_21,query_tool_path,corrupt_full,clean_full,tool,0.8270089285714286,False,False
humaneval_python_21,schema_tool_path,clean_no_schema,clean_full,tool,0.033482142857142856,True,True
humaneval_python_21,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.6901506696428572,True,True
humaneval_python_21,schema_tool_path,clean_no_protocol,clean_full,tool,4.162946428571429,False,False
humaneval_python_21,no_tool_path,clean_full,corrupt_full,no_tool,0.8079399141630901,False,False
apps_python_22,query_tool_path,corrupt_full,clean_full,tool,0.7213302752293578,False,False
apps_python_22,schema_tool_path,clean_no_schema,clean_full,tool,-0.009013044724770642,True,True
apps_python_22,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.3466169724770642,True,True
apps_python_22,schema_tool_path,clean_no_protocol,clean_full,tool,3.6490825688073394,False,False
apps_python_22,no_tool_path,clean_full,corrupt_full,no_tool,0.8153409090909091,True,True
codecontests_cpp_22,query_tool_path,corrupt_full,clean_full,tool,0.5392670157068062,False,False
codecontests_cpp_22,schema_tool_path,clean_no_schema,clean_full,tool,0.6681937172774869,True,True
codecontests_cpp_22,schema_tool_path,clean_schema_mismatch,clean_full,tool,2.648396596858639,True,True
codecontests_cpp_22,schema_tool_path,clean_no_protocol,clean_full,tool,4.605366492146596,True,True
codecontests_cpp_22,no_tool_path,clean_full,corrupt_full,no_tool,0.7641242937853108,False,False
codecontests_java_22,query_tool_path,corrupt_full,clean_full,tool,0.9571078431372549,True,True
codecontests_java_22,schema_tool_path,clean_no_schema,clean_full,tool,0.18841911764705882,True,True
codecontests_java_22,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.6670687806372549,True,True
codecontests_java_22,schema_tool_path,clean_no_protocol,clean_full,tool,2.406862745098039,False,False
codecontests_java_22,no_tool_path,clean_full,corrupt_full,no_tool,0.8864541832669323,True,True
