sample_id,family,component,base_variant,rescue_ratio,decision_score,top1_success,boundary_flip
codecontests_cpp_15,suppress,L16H4,clean_full,-0.006024096385542169,-1.3033065795898438,False,False
codecontests_cpp_15,suppress,MLP17,clean_full,0.37349397590361444,-0.75537109375,False,False
codecontests_cpp_15,suppress,L23H6,clean_full,0.2740963855421687,-0.91552734375,False,False
codecontests_java_15,query,L20H5,corrupt_full,0.35036496350364965,-5.55279541015625,False,False
codecontests_java_15,query,L21H1,corrupt_full,0.6970802919708029,-2.4619140625,False,False
codecontests_java_15,query,L21H12,corrupt_full,0.9333941605839416,0.34765625,True,True
codecontests_java_15,query,L24H6,corrupt_full,0.7518248175182481,-1.89453125,False,False
codecontests_java_15,query,MLP27,corrupt_full,0.9673813868613139,1.353515625,True,True
codecontests_java_15,suppress,L16H4,clean_full,0.2205128205128205,-4.743377685546875,False,False
codecontests_java_15,suppress,MLP17,clean_full,0.26153846153846155,-4.491455078125,False,False
codecontests_java_15,suppress,L23H6,clean_full,0.20512820512820512,-4.83953857421875,False,False
apps_python_16,query,L20H5,corrupt_full,0.19343065693430658,-3.43505859375,False,False
apps_python_16,query,L21H1,corrupt_full,0.5109489051094891,-2.02783203125,False,False
apps_python_16,query,L21H12,corrupt_full,0.4781021897810219,-2.18896484375,False,False
apps_python_16,query,L24H6,corrupt_full,0.4744525547445255,-2.16259765625,False,False
apps_python_16,query,MLP27,corrupt_full,0.7591240875912408,-0.7578125,False,False
apps_python_16,suppress,L16H4,clean_full,0.2893081761006289,-1.720947265625,False,False
apps_python_16,suppress,MLP17,clean_full,0.6619496855345912,-0.400390625,True,False
apps_python_16,suppress,L23H6,clean_full,0.3270440251572327,-1.59228515625,False,False
codecontests_cpp_16,query,L20H5,corrupt_full,0.2863247863247863,-2.59326171875,False,False
codecontests_cpp_16,query,L21H1,corrupt_full,0.49572649572649574,-1.77392578125,False,False
codecontests_cpp_16,query,L21H12,corrupt_full,0.6538461538461539,-1.087890625,False,False
codecontests_cpp_16,query,L24H6,corrupt_full,0.5170940170940171,-1.68359375,False,False
codecontests_cpp_16,query,MLP27,corrupt_full,0.8258547008547008,-0.158203125,False,False
codecontests_cpp_16,suppress,L16H4,clean_full,0.24293785310734464,-2.0751953125,False,False
codecontests_cpp_16,suppress,MLP17,clean_full,0.6751412429378532,-0.59765625,False,False
codecontests_cpp_16,suppress,L23H6,clean_full,0.23728813559322035,-2.0911865234375,False,False
codecontests_java_16,query,L20H5,corrupt_full,0.3609022556390977,-2.624755859375,False,False
codecontests_java_16,query,L21H1,corrupt_full,0.34210526315789475,-2.7130126953125,False,False
codecontests_java_16,query,L21H12,corrupt_full,0.6710526315789473,-1.1787109375,False,False
codecontests_java_16,query,L24H6,corrupt_full,0.5958646616541353,-1.552734375,False,False
codecontests_java_16,query,MLP27,corrupt_full,0.8693609022556391,0.109375,True,True
codecontests_java_16,suppress,L16H4,clean_full,0.07655502392344497,-3.0130462646484375,False,False
codecontests_java_16,suppress,MLP17,clean_full,0.7966507177033493,-0.11328125,False,False
codecontests_java_16,suppress,L23H6,clean_full,0.27751196172248804,-2.3369140625,False,False
apps_python_17,query,L20H5,corrupt_full,0.3,-2.0565185546875,False,False
apps_python_17,query,L21H1,corrupt_full,0.5657894736842105,-1.16650390625,False,False
apps_python_17,query,L21H12,corrupt_full,0.6828947368421052,-0.7158203125,False,False
apps_python_17,query,L24H6,corrupt_full,0.5657894736842105,-1.16552734375,False,False
apps_python_17,query,MLP27,corrupt_full,0.8552631578947368,0.171875,True,True
apps_python_17,suppress,L16H4,clean_full,0.27070063694267515,-1.7669677734375,False,False
apps_python_17,suppress,MLP17,clean_full,0.5031847133757962,-1.10693359375,False,False
apps_python_17,suppress,L23H6,clean_full,0.267515923566879,-1.7745361328125,False,False
codecontests_cpp_17,query,L20H5,corrupt_full,0.4327731092436975,-2.053955078125,False,False
codecontests_cpp_17,query,L21H1,corrupt_full,0.6764705882352942,-0.9833984375,False,False
