sample_id,stage,tool_token_delta,distractor_delta
codecontests_cpp_75,resid_post,0.03125,0.091796875
codecontests_java_75,resid_mid,0.03125,0.0185546875
codecontests_java_75,resid_post,-0.125,0.1259765625
apps_python_76,resid_mid,-0.09375,0.240234375
apps_python_76,resid_post,-0.03125,0.0
codecontests_java_76,resid_mid,0.1875,-0.009765625
codecontests_java_76,resid_post,0.1875,0.140625
humaneval_python_76,resid_mid,-0.03125,0.1640625
humaneval_python_76,resid_post,-0.0625,0.078125
apps_python_77,resid_mid,-0.0625,-0.0986328125
apps_python_77,resid_post,-0.125,0.03125
codecontests_cpp_77,resid_mid,0.09375,-0.0390625
codecontests_cpp_77,resid_post,0.15625,0.041015625
codecontests_java_77,resid_mid,0.125,0.209716796875
codecontests_java_77,resid_post,-0.03125,0.0390625
humaneval_python_78,resid_mid,-0.09375,0.5537109375
humaneval_python_78,resid_post,-0.125,0.359375
apps_python_79,resid_mid,0.03125,0.0078125
apps_python_79,resid_post,-0.0625,0.2109375
codecontests_cpp_79,resid_mid,0.03125,0.168701171875
codecontests_cpp_79,resid_post,0.03125,0.08984375
codecontests_java_79,resid_mid,0.0,0.190185546875
codecontests_java_79,resid_post,0.0,0.01171875
mbpp_python_79,resid_mid,-0.1875,0.3154296875
mbpp_python_79,resid_post,0.03125,0.078125
apps_python_80,resid_mid,0.21875,0.04296875
apps_python_80,resid_post,0.15625,0.1796875
codecontests_cpp_80,resid_mid,0.03125,-0.060546875
codecontests_cpp_80,resid_post,-0.09375,0.15625
codecontests_java_80,resid_mid,-0.03125,0.14960861206054688
codecontests_java_80,resid_post,-0.09375,0.09765625
apps_python_81,resid_mid,-0.0625,0.025390625
apps_python_81,resid_post,-0.1875,0.140625
codecontests_java_81,resid_mid,0.0,0.0537109375
codecontests_java_81,resid_post,-0.0625,-0.001953125
mbpp_python_81,resid_mid,0.03125,0.046875
mbpp_python_81,resid_post,0.03125,0.1015625
apps_python_82,resid_mid,0.0625,-0.005859375
apps_python_82,resid_post,0.03125,0.125
codecontests_java_82,resid_mid,0.0625,0.0
codecontests_java_82,resid_post,-0.09375,0.125
apps_python_83,resid_mid,0.0,0.51953125
apps_python_83,resid_post,0.03125,0.109375
codecontests_cpp_83,resid_mid,-0.0625,0.403564453125
codecontests_cpp_83,resid_post,0.0,0.27734375
codecontests_java_83,resid_mid,0.15625,0.060546875
codecontests_java_83,resid_post,0.0,0.34918212890625
apps_python_84,resid_mid,-0.125,-0.0817718505859375
apps_python_84,resid_post,-0.1875,0.0703125
codecontests_java_84,resid_mid,0.15625,0.05621337890625
