sample_id,variant,span,attn_mass,attn_density
codecontests_java_14,clean,file_target,0.009729025885462761,0.0048645129427313805
codecontests_java_14,clean,tail_suffix,0.07764621078968048,0.00705874664708972
codecontests_java_14,clean,task_body,0.13455425202846527,0.0023606009781360626
codecontests_java_14,base,lead_phrase,0.21985821425914764,0.10992910712957382
codecontests_java_14,base,function_body_anchor,0.018443280830979347,0.009221640415489674
codecontests_java_14,base,file_target,0.009081407450139523,0.004540703725069761
codecontests_java_14,base,tail_suffix,0.07339426130056381,0.006672205403447151
codecontests_java_14,base,task_body,0.11139196902513504,0.0019542451482266188
codecontests_cpp_15,clean,lead_phrase,0.06426233798265457,0.032131168991327286
codecontests_cpp_15,clean,function_body_anchor,0.021658724173903465,0.010829362086951733
codecontests_cpp_15,clean,file_target,0.02880425751209259,0.014402128756046295
codecontests_cpp_15,clean,tail_suffix,0.09137989580631256,0.008307263255119324
codecontests_cpp_15,clean,task_body,0.13438180088996887,0.0015997833106666803
codecontests_cpp_15,base,lead_phrase,0.11335819959640503,0.056679099798202515
codecontests_cpp_15,base,function_body_anchor,0.01161973923444748,0.00580986961722374
codecontests_cpp_15,base,file_target,0.023864854127168655,0.011932427063584328
codecontests_cpp_15,base,tail_suffix,0.07649097591638565,0.006953725125640631
codecontests_cpp_15,base,task_body,0.12888599932193756,0.0015343570848926902
codecontests_java_15,clean,lead_phrase,0.01412976160645485,0.007064880803227425
codecontests_java_15,clean,function_body_anchor,0.00927653256803751,0.004638266284018755
codecontests_java_15,clean,file_target,0.011143665760755539,0.0055718328803777695
codecontests_java_15,clean,tail_suffix,0.07406404614448547,0.006733095273375511
codecontests_java_15,clean,task_body,0.14550566673278809,0.0018418438266962767
codecontests_java_15,base,lead_phrase,0.14204376935958862,0.07102188467979431
codecontests_java_15,base,function_body_anchor,0.009474053047597408,0.004737026523798704
codecontests_java_15,base,file_target,0.008114323951303959,0.0040571619756519794
codecontests_java_15,base,tail_suffix,0.07375850528478622,0.0067053185775876045
codecontests_java_15,base,task_body,0.12062100321054459,0.001526848180219531
apps_python_16,clean,lead_phrase,0.033830076456069946,0.008457519114017487
