sample_id,sample_rank,q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
codecontests_java_38,90,,12.625,0.9405940594059405,0.8613861386138614,0.9603960396039604,0.8811881188118812,1,11,16
codecontests_cpp_39,91,,6.75,0.9814814814814815,1.0185185185185186,0.9814814814814815,1.0185185185185186,0,10,16
codecontests_java_39,92,,16.5,0.9545454545454546,0.9393939393939394,0.9393939393939394,0.9090909090909091,0,10,16
humaneval_python_39,93,,6.5,1.0576923076923077,1.0192307692307692,1.0192307692307692,1.0192307692307692,1,11,16
apps_python_40,94,,7.375,1.0169491525423728,1.0508474576271187,1.0508474576271187,1.0677966101694916,0,10,16
codecontests_cpp_40,95,,7.75,0.9516129032258065,1.0,0.9838709677419355,1.0,0,10,16
codecontests_java_40,96,,10.125,0.9012345679012346,0.8765432098765432,0.8765432098765432,0.8888888888888888,0,10,16
codecontests_cpp_41,97,,8.0,0.9375,0.984375,0.96875,1.046875,0,10,16
codecontests_java_41,98,,9.625,0.961038961038961,0.935064935064935,0.9090909090909091,0.8701298701298701,1,11,16
humaneval_python_41,99,,6.5,0.9423076923076923,0.9423076923076923,0.9230769230769231,0.9423076923076923,0,10,16
codecontests_cpp_42,100,,8.0,0.96875,0.984375,0.96875,1.03125,0,10,16
codecontests_java_42,101,,10.375,0.9759036144578314,0.9397590361445783,0.9759036144578314,1.0,0,10,16
humaneval_python_42,102,,8.25,1.0,1.0303030303030303,1.0454545454545454,1.0606060606060606,1,11,16
mbpp_python_42,103,,5.375,1.0465116279069768,1.0465116279069768,0.9767441860465116,1.0232558139534884,0,10,16
apps_python_43,104,,10.125,0.9382716049382716,1.0,1.0246913580246915,1.0617283950617284,1,11,16
codecontests_cpp_43,105,,6.875,0.9636363636363636,0.9818181818181818,0.9454545454545454,1.0,1,11,16
codecontests_java_43,106,,16.5,1.0416666666666667,1.071969696969697,1.0454545454545454,1.106060606060606,1,11,16
