sample_id,base_variant,step_idx,node,rescue_ratio,top1_is_tool,boundary_flip
apps_python_22,clean_schema_mismatch,2,MLP27,1.3466169724770642,True,True
apps_python_22,clean_no_protocol,1,L21H12,2.7522935779816513,False,False
apps_python_22,clean_no_protocol,2,MLP27,3.6490825688073394,False,False
codecontests_cpp_22,clean_no_schema,1,L21H12,0.5575916230366492,False,True
codecontests_cpp_22,clean_no_schema,2,MLP27,0.6681937172774869,True,True
codecontests_cpp_22,clean_schema_mismatch,1,L21H12,2.2539267015706805,False,False
codecontests_cpp_22,clean_schema_mismatch,2,MLP27,2.648396596858639,True,True
codecontests_cpp_22,clean_no_protocol,1,L21H12,2.806282722513089,False,False
codecontests_cpp_22,clean_no_protocol,2,MLP27,4.605366492146596,True,True
codecontests_java_22,clean_no_schema,1,L21H12,0.17677696078431374,True,True
codecontests_java_22,clean_no_schema,2,MLP27,0.18841911764705882,True,True
codecontests_java_22,clean_schema_mismatch,1,L21H12,0.5906862745098039,True,True
codecontests_java_22,clean_schema_mismatch,2,MLP27,0.6670687806372549,True,True
codecontests_java_22,clean_no_protocol,1,L21H12,1.303921568627451,False,False
codecontests_java_22,clean_no_protocol,2,MLP27,2.406862745098039,False,False
apps_python_23,clean_no_schema,1,L21H12,0.008761160714285714,True,True
apps_python_23,clean_no_schema,2,MLP27,0.003125,True,True
apps_python_23,clean_schema_mismatch,1,L21H12,0.3475,True,True
apps_python_23,clean_schema_mismatch,2,MLP27,0.40839285714285717,True,True
apps_python_23,clean_no_protocol,1,L21H12,3.5942857142857143,False,False
apps_python_23,clean_no_protocol,2,MLP27,4.467142857142857,True,True
codecontests_cpp_23,clean_no_schema,1,L21H12,0.59375,False,False
codecontests_cpp_23,clean_no_schema,2,MLP27,0.7847222222222222,True,True
codecontests_cpp_23,clean_schema_mismatch,1,L21H12,0.8975694444444444,False,False
codecontests_cpp_23,clean_schema_mismatch,2,MLP27,1.1148003472222223,True,True
codecontests_cpp_23,clean_no_protocol,1,L21H12,1.0173611111111112,False,False
codecontests_cpp_23,clean_no_protocol,2,MLP27,1.7278645833333333,True,True
