sample_id,head,variant,span,attn_mass,attn_density,n_tokens
codecontests_cpp_3,L17H2,clean,task_body,0.09165030717849731,0.001078238943591714,85
codecontests_cpp_3,L17H2,corrupt,lead_phrase,0.003975262865424156,0.001987631432712078,2
codecontests_cpp_3,L17H2,corrupt,function_body_anchor,0.008823014795780182,0.004411507397890091,2
codecontests_cpp_3,L17H2,corrupt,file_target,0.006511656101793051,0.0032558280508965254,2
codecontests_cpp_3,L17H2,corrupt,tail_suffix,0.0566546805202961,0.005150425713509321,11
codecontests_cpp_3,L17H2,corrupt,task_body,0.12059928476810455,0.001418815110810101,85
codecontests_cpp_3,L17H8,clean,lead_phrase,0.006603744346648455,0.0033018721733242273,2
codecontests_cpp_3,L17H8,clean,function_body_anchor,0.009432312101125717,0.004716156050562859,2
codecontests_cpp_3,L17H8,clean,file_target,0.013292672112584114,0.006646336056292057,2
codecontests_cpp_3,L17H8,clean,tail_suffix,0.10435117781162262,0.009486470371484756,11
codecontests_cpp_3,L17H8,clean,task_body,0.10674869269132614,0.0012558669550344348,85
codecontests_cpp_3,L17H8,corrupt,lead_phrase,0.008648614399135113,0.004324307199567556,2
codecontests_cpp_3,L17H8,corrupt,function_body_anchor,0.00576489232480526,0.00288244616240263,2
codecontests_cpp_3,L17H8,corrupt,file_target,0.00988840777426958,0.00494420388713479,2
codecontests_cpp_3,L17H8,corrupt,tail_suffix,0.09845316410064697,0.008950287476181984,11
codecontests_cpp_3,L17H8,corrupt,task_body,0.12479954957962036,0.0014682300388813019,85
codecontests_cpp_3,L20H5,clean,lead_phrase,0.0001720467407722026,8.60233703861013e-05,2
codecontests_cpp_3,L20H5,clean,function_body_anchor,0.018517132848501205,0.009258566424250603,2
codecontests_cpp_3,L20H5,clean,file_target,0.08089938014745712,0.04044969007372856,2
codecontests_cpp_3,L20H5,clean,tail_suffix,0.04176722466945648,0.0037970205303281546,11
codecontests_cpp_3,L20H5,clean,task_body,0.06171032786369324,0.0007260038401000202,85
codecontests_cpp_3,L20H5,corrupt,lead_phrase,0.0002917717501986772,0.0001458858750993386,2
codecontests_cpp_3,L20H5,corrupt,function_body_anchor,0.07758943736553192,0.03879471868276596,2
codecontests_cpp_3,L20H5,corrupt,file_target,0.12406802177429199,0.062034010887145996,2
codecontests_cpp_3,L20H5,corrupt,tail_suffix,0.044955067336559296,0.004086824133992195,11
codecontests_cpp_3,L20H5,corrupt,task_body,0.07583361119031906,0.0008921601111069322,85
codecontests_java_3,L2H14,clean,lead_phrase,0.012972673401236534,0.006486336700618267,2
codecontests_java_3,L2H14,clean,function_body_anchor,0.00906550046056509,0.004532750230282545,2
codecontests_java_3,L2H14,clean,file_target,0.010908862575888634,0.005454431287944317,2
codecontests_java_3,L2H14,clean,tail_suffix,0.07686808705329895,0.006988008040934801,11
codecontests_java_3,L2H14,clean,task_body,0.15835197269916534,0.0019793997053056955,80
codecontests_java_3,L2H14,corrupt,lead_phrase,0.16005946695804596,0.08002973347902298,2
codecontests_java_3,L2H14,corrupt,function_body_anchor,0.008478881791234016,0.004239440895617008,2
codecontests_java_3,L2H14,corrupt,file_target,0.009096521884202957,0.004548260942101479,2
codecontests_java_3,L2H14,corrupt,tail_suffix,0.07681044936180115,0.006982767954468727,11
